FIPS County Code,County Name,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard,Expos,Vulner,Risk,HEV
42035,Clinton,2.28847889,-0.002581367,111.3,61.2,43.9,-0.109080709,1.426065449,265.0935046,16079.33333,0.0,0.0,0.345327878,0.010593729,0.291700212,0.00106713,0.106713
42037,Columbia,1.770705593,2.182130137,326.3,68.8,30.1,0.471918853,2.774557448,355.5610145,40327.0,0.0,0.0,0.436782593,0.020869972,0.301191378,0.002745552,0.2745552
42039,Crawford,1.834208641,-0.209262982,36.7,66.8,31.0,-0.158103803,2.20903224,259.3771595,57170.0,0.0,0.0,0.239891564,0.017296899,0.319686094,0.001326499,0.1326499
42041,Cumberland,2.019555115,-0.020106334,103.9,70.7,35.5,-0.070769438,5.303472358,880.2355543,261482.3333,0.0,0.0,0.310841752,0.046272869,0.303880391,0.004370876,0.4370876
42043,Dauphin,1.957012609,-0.087332868,120.0,65.8,29.2,-0.079295537,6.625001226,1260.117406,318698.0,0.0,0.0,0.275527275,0.057919721,0.291697525,0.004655044,0.4655044
42045,Delaware,2.128352012,-0.061846907,128.6,54.2,35.6,-0.04935546,24.00368256,5805.926287,692558.6667,0.001737044,1.6e-05,0.288386487,0.1992383,0.268309601,0.015416435,1.5416435
42047,Elk,2.150355812,0.101219836,64.8,57.7,39.6,-0.096750369,1.35358718,222.1363068,5883.0,0.0,0.0,0.296837746,0.009694272,0.274980985,0.000791292,0.0791292
42049,Erie,2.119696569,0.233497354,96.0,63.9,32.8,-0.160690057,4.167402098,675.5417268,303887.6667,0.0,0.0,0.303407427,0.039341483,0.328385231,0.00391977,0.391977
42051,Fayette,1.845743527,0.034833241,82.6,75.2,37.5,-0.111204104,3.046953867,447.1253261,91090.66667,0.0,0.0,0.30336678,0.024511023,0.306733982,0.002280822,0.2280822
42053,Forest,2.006872855,0.023298255,99.8,62.4,34.6,-0.171693572,1.724597495,203.2022994,4332.0,0.0,0.0,0.285918242,0.012184906,0.294662351,0.00102657,0.102657
42055,Franklin,1.901871229,0.082546722,120.8,77.2,36.3,-0.058933996,2.949494458,393.5354434,112423.6667,0.0,0.0,0.324761015,0.024402785,0.334547695,0.002651315,0.2651315
42057,Fulton,1.875341898,-0.092375878,72.4,73.9,35.5,-0.081696456,1.323824483,137.7810018,4312.333333,0.0,0.0,0.290358304,0.009284665,0.294264692,0.000793302,0.0793302
42059,Greene,1.851923203,-3.308989784,12.0,80.6,41.3,-0.350540424,1.717647716,194.3607912,11069.33333,0.0,0.0,0.215444478,0.012330793,0.297230501,0.000789623,0.0789623
42061,Huntingdon,1.874201806,0.080732332,111.7,67.2,31.9,-0.090410224,1.460545288,184.4162109,18045.33333,0.0,0.0,0.280547077,0.010746849,0.306794496,0.000924985,0.0924985
42063,Indiana,2.10124882,0.159453492,93.7,70.0,32.0,-0.09525537,2.10028275,262.3764012,60577.0,0.0,0.0,0.310888928,0.016654326,0.290959588,0.001506486,0.1506486
42065,Jefferson,2.183171227,1.786313243,348.8,64.3,35.7,0.358694724,1.863209073,231.7760214,12529.33333,0.0,0.0,0.48268501,0.013454453,0.284578452,0.001848127,0.1848127
42067,Juniata,2.172508554,-0.092315243,108.5,67.4,35.2,-0.096055254,1.661980331,183.3812167,6470.666667,0.0,0.0,0.318194733,0.011781066,0.305066374,0.001143594,0.1143594
